filename,path,extension,size_bytes,stage
SRC_0010_std.json,stage_2\04_identity\resolved_json\SRC_0010_std.json,.json,32944,stage_2
SRC_0011_std.json,stage_2\04_identity\resolved_json\SRC_0011_std.json,.json,33719,stage_2
SRC_0012_std.json,stage_2\04_identity\resolved_json\SRC_0012_std.json,.json,33818,stage_2
SRC_0013_std.json,stage_2\04_identity\resolved_json\SRC_0013_std.json,.json,33642,stage_2
SRC_0014_std.json,stage_2\04_identity\resolved_json\SRC_0014_std.json,.json,32836,stage_2
SRC_0015_std.json,stage_2\04_identity\resolved_json\SRC_0015_std.json,.json,33383,stage_2
SRC_0016_std.json,stage_2\04_identity\resolved_json\SRC_0016_std.json,.json,33508,stage_2
SRC_0017_std.json,stage_2\04_identity\resolved_json\SRC_0017_std.json,.json,33681,stage_2
SRC_0018_std.json,stage_2\04_identity\resolved_json\SRC_0018_std.json,.json,33650,stage_2
SRC_0019_std.json,stage_2\04_identity\resolved_json\SRC_0019_std.json,.json,33097,stage_2
SRC_0020_std.json,stage_2\04_identity\resolved_json\SRC_0020_std.json,.json,32993,stage_2
SRC_0021_std.json,stage_2\04_identity\resolved_json\SRC_0021_std.json,.json,32924,stage_2
SRC_0032_std.json,stage_2\04_identity\resolved_json\SRC_0032_std.json,.json,1593,stage_2
paimana_analytical.db,stage_2\05_canonical\paimana_analytical.db,.db,548864,stage_2
RAW_VALIDATION_REPORT.csv,stage_2\06_validation\RAW_VALIDATION_REPORT.csv,.csv,10321,stage_2
ML_DATASET.csv,stage_2\09_ml\ML_DATASET.csv,.csv,52130,stage_2
